,baa_aaa,t10y2y,dff,cpi_yoy,indpro_yoy,dgs10,rvol,gz_spread,ebp,inv,episode,inv_E1,inv_E2,inv_E3,inv_E4,inv_E5,inv_E6
1989-08,0.9199999999999999,-0.03217391304347826,8.992258064516129,4.621848739495804,0.32497957712054326,8.112608695652174,11.819180434637962,1.7728031516570917,0.5900954727520527,1,1,1,0,0,0,0,0
1989-09,0.9000000000000004,-0.094,9.020999999999999,4.435146443514637,0.3240432253134973,8.1905,10.960938596099421,1.6098494298780603,0.6349552303198446,1,1,1,0,0,0,0,0
1989-10,0.8900000000000006,0.02857142857142857,8.840645161290322,4.587155963302747,-0.24121871415987428,8.007619047619048,18.888186611209928,1.5479655398984602,0.5220129965212101,0,0,0,0,0,0,0,0
1989-11,0.9199999999999999,0.07857142857142857,8.548,4.655029093931851,-0.14564426549978915,7.8742857142857146,17.928085121584935,1.54437498183621,0.6413456930122797,0,0,0,0,0,0,0,0
1989-12,0.9600000000000009,0.059,8.452580645161289,4.639602319801162,-0.05074563869427173,7.836,9.986286290885216,1.4583979179545183,0.5336466447293695,0,0,0,0,0,0,0,0
1990-01,0.9499999999999993,0.12142857142857141,8.229032258064516,5.198019801980203,-0.848734447631927,8.206666666666667,15.0785558697461,1.353000376120297,0.2687929063672751,0,0,0,0,0,0,0,0
1990-02,0.9199999999999999,0.10263157894736842,8.237142857142858,5.263157894736836,0.49643524964546604,8.473157894736843,15.218064267542328,1.3481455158781577,0.4046011088579276,0,0,0,0,0,0,0,0
1990-03,0.8400000000000016,-0.038181818181818185,8.276774193548386,5.237315875613735,0.7451289008624462,8.588636363636363,11.857398614089414,1.342693439550254,0.4275120515374555,1,2,0,1,0,0,0,0
1990-04,0.8399999999999999,0.0615,8.255,4.711616571892785,0.4962367772133325,8.7855,10.732350629993336,1.2768704962813933,0.1859726763162454,0,0,0,0,0,0,0,0
1990-05,0.9399999999999995,0.11590909090909092,8.176451612903225,4.365400161681476,1.3782408246781896,8.758181818181818,11.321956184339369,1.1438834400060625,0.1009726398805701,0,0,0,0,0,0,0,0
1990-06,0.9600000000000009,0.12904761904761905,8.288666666666666,4.673650282030639,1.7298125132548803,8.48,12.668862281956583,1.16396636073479,0.1540251476819958,0,0,0,0,0,0,0,0
1990-07,0.9599999999999991,0.3142857142857143,8.15258064516129,4.819277108433728,2.5412840137444492,8.471428571428572,12.988609502139923,1.1153271973470955,0.0844977100165937,0,0,0,0,0,0,0,0
1990-08,1.0,0.691304347826087,8.134193548387097,5.702811244979911,1.9009861881851498,8.752608695652174,18.781227972853635,1.0449809382742012,-0.2228579065822227,0,0,0,0,0,0,0,0
1990-09,1.08,0.8136842105263158,8.195,6.169871794871806,2.229147315019908,8.893157894736841,21.518928369155237,1.0662999533630766,-0.0035470623195497,0,0,0,0,0,0,0,0
1990-10,1.2100000000000009,0.8418181818181818,8.112580645161291,6.379585326953752,1.7690408900654653,8.719545454545456,21.931271726806596,1.323732043990583,0.1736396619633946,0,0,0,0,0,0,0,0
1990-11,1.3199999999999985,0.7935,7.806666666666667,6.195393169181873,0.1366191065791167,8.392,19.222576174111115,1.4659013762689967,0.2755361826690423,0,0,0,0,0,0,0,0
